I,G,C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-62.3620808913055,-95.04067836062713,-51.980210265641034,-92.42675726210005,-113.4537295652439,-49.56203849789468,-89.64528752224471,-110.06180150198432,H,C,low
-71.27983880298524,-175.61143824319825,-57.371751361128915,-169.09280292774423,-145.26070127693666,-58.008118160794645,-164.9792652281847,-141.5542877132124,C,C,low
-70.17957957774618,-46.1762084967725,-62.23841233827508,-63.080596479613504,-61.38043075076496,-52.461690291506734,-53.466738718121604,-51.3144497930614,G,G,low
-70.37300159692225,-133.9921088358749,-57.273724894081724,-124.63636906334392,-120.69839509225604,-60.74499802758882,-122.10041280381758,-117.95949855931597,C,H,low
-66.21575139786603,-334.6364056191651,-261.4066734194574,-97.89834309115837,-298.8448584930875,-262.60657176040667,-110.75720022914479,-300.84835173316316,I,H,low
-70.40192310640538,-134.0101846194473,-57.30005478222358,-124.66171351008437,-120.7278203210135,-60.76618187345622,-122.11929005601407,-117.98193278735015,C,C,low
-66.0952652181228,-238.72844923712756,-203.06880069906128,-168.33635870477298,-96.90564453369545,-202.59952518130962,-172.46292430928696,-104.98606665340627,I,I,low
-62.215235686072255,-57.36683397870903,-52.516061588635246,-78.85196729485925,-62.025347481896134,-48.21627766339649,-74.30440889083265,-58.294416702590226,H,H,high
-63.24188305142922,-191.52545563928723,-144.60678382098106,-101.42745674389238,-168.48119729066775,-146.8839589154973,-108.73352418221948,-167.13780044335363,I,C,high
-73.79498185482379,-44.63442755827161,-59.58765586636587,-59.844376572631994,-60.07990765910178,-51.46353627549,-51.666598341369856,-51.80554779913568,G,G,high
-68.45542488559262,-53.907475062351836,-56.01486595557763,-68.45249546727477,-64.67829593559864,-50.4675671042709,-62.186793796117506,-58.41792141994363,H,H,low
-70.81295953279616,-42.48206620884848,-60.843717277393566,-71.2980076338834,-63.45918153054158,-50.10348324286054,-60.72384684107766,-52.36248860571663,G,G,high
-58.70135991012991,-162.26725885232918,-93.81117101036,-115.25727903834859,-139.27209728611692,-93.78660578300358,-117.00001879595659,-139.80444647852232,I,I,low
-65.63057418688108,-194.7928197234082,-91.65461292034024,-180.25907627899983,-120.71378380052693,-95.57846066850425,-180.02036708610325,-124.48549032917822,I,C,low
-66.14645964250326,-77.35075655375246,-55.13829349197228,-92.53806602018547,-85.75316479662867,-50.39115380948405,-87.88959593666699,-81.56715389560091,H,H,high
-75.09681760037337,-121.03389967617775,-60.52552444097032,-122.82009767228449,-117.98261423699131,-54.578108530266434,-114.22076556683376,-109.6816868800052,H,H,low
-62.62562786953719,-123.40344598221101,-52.01710984378354,-123.3034556031295,-118.2856428460694,-54.36358738602674,-121.69506811777192,-116.94496767740681,C,C,low
-62.271572756404964,-70.71009948165835,-54.02997790537821,-81.67396628158437,-68.01717271477295,-51.737072487256384,-77.86828230274483,-64.72962603384433,C,H,high
-77.48887147759483,-95.96109537108994,-64.86580736296474,-125.95006805313358,-94.66232272097932,-56.06249051099106,-117.95621386869819,-88.10199793045821,H,C,high
-57.270690661288924,-37.623687265843664,-48.69182087593578,-49.967638617297546,-49.757037444429734,-44.12960933396801,-45.332911196241795,-45.305796170500926,G,G,high
-70.76949409828596,-88.76236218960423,-59.610870083883725,-100.42958458949869,-103.41964879864527,-52.47062214167967,-91.053105906867,-94.2681809525847,H,C,high
-65.32784142073594,-47.617146892387055,-52.14605236394923,-59.84495428034746,-59.745951395398755,-46.35124613463202,-54.23470263353382,-54.042714866479805,H,C,low
-70.44090388593958,-515.8963211672856,-180.599527425658,-321.9443315277791,-398.53942545327646,-195.18429242796344,-330.62680916547623,-401.8825848859874,I,I,low
-70.81360120939519,-42.485134886222426,-60.847416752836324,-71.30117645301472,-63.46329800952302,-50.10726198930237,-60.72711032214649,-52.36656252281597,G,G,high
-65.99042831978244,-39.21849946176546,-52.39933299186046,-53.60532947742821,-53.636685421144115,-46.24448870640985,-47.72694437926103,-47.80749302443147,G,G,high
-65.17559897020848,-53.761257815982475,-54.32459914128035,-62.61537138114218,-63.68016605950097,-50.053094561257794,-57.369267079258094,-58.36916820970553,H,G,high
-61.90255600558325,-146.6851876647135,-149.01861283108718,-78.10472753881338,-90.45898596989608,-146.2164207354527,-78.82532921304187,-91.88543046514597,I,I,low
-64.35295527435217,-39.17017980391406,-52.3670714042775,-52.34000308879741,-53.1538413864972,-45.92954281301605,-46.074462984634664,-46.94998604074488,G,G,high
-71.76146597003044,-44.26149592204753,-58.23375445458663,-60.804306449379396,-62.06431778040243,-51.17772307643598,-53.44278653025947,-55.02371769712946,G,G,high
-63.8273947026114,-40.41912779195013,-53.625936127577376,-53.706468647338845,-53.12058479548896,-47.23984623454108,-47.3101729940167,-46.73903023296348,G,G,high
-62.22314980790695,-57.38289825434897,-52.525141317579426,-78.87768593340117,-62.041233251734056,-48.223069503300614,-74.32666354850062,-58.307924209951615,H,H,high
-63.07493588381758,-128.1657562503618,-52.56086334482047,-127.95787743089906,-114.33255546883551,-54.96803250333447,-126.00294925762068,-112.6581142797337,C,C,low
-68.22228043308967,-273.6288683632166,-57.49480451953496,-241.52306884312048,-255.15041205965403,-62.5320194053522,-241.32419955891376,-254.53658894860604,C,C,high
-66.62640165615667,-142.08619212247842,-51.98458298210848,-148.02478320295347,-120.80354377174788,-54.69775414025309,-147.53565226608225,-121.52203050411376,C,C,high
-65.62413290574013,-194.7826290739232,-91.6541772891966,-180.2487873824766,-120.69965229295109,-95.5786803097171,-180.01044049556825,-124.47229310541961,I,H,high
-67.61756824883685,-71.65684213793921,-56.499281019932596,-88.40747717459055,-69.22829605520803,-51.03761405786325,-82.90317486076194,-64.14988291504343,H,H,high
-60.56531720542965,-116.37860112522185,-50.6941770501726,-100.68553769533075,-117.85030538640065,-55.916494637741515,-101.64352775707758,-118.7452918518864,C,C,low
-70.4406925278233,-515.7695768027002,-180.63039201123732,-321.86542869740276,-398.4222096920712,-195.21258858089215,-330.5423144233314,-401.771134887495,I,I,low
-69.86238912331315,-294.2387789630945,-207.96634464171515,-87.14774690021841,-291.1661840216392,-208.9579746716544,-96.20988089957768,-290.03559747395917,I,C,high
