C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-733.2222901044908,-744.797108358774,-738.5237684556147,-732.2956326072449,-743.0894348013113,-737.0555926966317,0.20,H,low
-733.7073124296342,-752.5638378671293,-753.027267533501,-732.8250924133245,-750.7554577885805,-751.027398087355,0.35,C,high
-734.7022011987191,-745.4677080218227,-750.0645639905977,-732.791345389155,-743.0700030471672,-747.4087586569474,0.55,H,low
-732.8838875653788,-818.9971648953729,-818.1642617145162,-733.6572036582729,-819.5408483507974,-818.4014587876442,0.00,C,high
-738.6566998929551,-741.0452264460783,-740.8164971442139,-732.661009583025,-734.9914671514542,-734.666531947255,0.75,H,high
-736.5624584327105,-742.364202758146,-742.334082196617,-733.6175390579924,-738.7740192200689,-738.7629378978282,0.55,H,low
-736.4093997573825,-780.6641169742572,-756.9065454432952,-734.7619831313184,-776.9078906261753,-753.8439708380804,0.35,C,high
-734.2445171192708,-750.5804441742846,-749.1558312177048,-733.9985177159211,-748.5371173328194,-747.2218723100569,0.35,C,high
-732.685240631989,-794.3832373175475,-787.6814386578263,-731.4387513690598,-794.5392110832619,-788.3574011215804,0.75,C,high
-736.0318883032418,-780.1768523786217,-762.4978281228107,-736.6429163590834,-778.8316985640319,-761.6260332115831,0.00,H,low
-735.9338775097281,-754.5291746639597,-761.2006841956738,-734.229370716948,-752.6069980132195,-759.086551945802,0.35,C,low
-735.5369929121832,-770.8135781724333,-768.0245896247269,-735.0054819007509,-769.4272762350461,-766.3917218960868,0.00,H,low
-735.5094671621257,-754.3165503245338,-750.5260209771842,-735.9989927586745,-752.9428987511759,-749.3516036870999,0.20,C,high
-739.7110018056793,-748.3655247691536,-750.2609455313303,-735.8364849884713,-743.903714186883,-745.6828835627863,0.75,H,high
-737.9432509640003,-744.6731371444783,-744.2139523808561,-735.9582716447984,-741.8895852555406,-741.2648553101124,0.35,C,low
-734.5234843292575,-788.3268818819561,-785.6015166052513,-735.9655491210068,-786.9826787184694,-784.7397051041914,0.35,C,high
-735.7437235356889,-817.3582374495938,-800.8083372730815,-735.5612926240777,-817.6425412629476,-801.8617401555978,0.20,C,high
-737.0825939870515,-774.0122701850933,-757.0668593813292,-734.2573520636385,-771.6522387867988,-755.0515933072058,0.55,H,low
-734.9882272179943,-767.6148520311376,-780.127630623981,-736.4973901765228,-766.9553253382135,-778.7796144971949,0.55,C,high
-733.9222586088779,-742.5821610870047,-742.6581580579701,-733.4466984173632,-741.1350959789075,-741.3023626962956,0.00,H,low
-735.1325490138632,-748.7322511341565,-752.5460538723254,-734.1914840465648,-747.0455579400159,-750.1920288174522,0.75,H,low
-733.7313855595042,-782.546687128286,-781.6012528647461,-734.3284841308316,-781.2436770035342,-780.6465786894131,0.35,C,high
-736.6321260480333,-814.8320893546094,-812.1147105001311,-744.3886476701389,-815.3167367643553,-812.964550917048,0.20,C,high
-737.7314759917483,-743.8804018850716,-750.6540956256225,-734.4912445024069,-739.6820926623309,-746.4026485431484,0.75,H,high
-733.0705177253433,-750.0894286980536,-763.1446974478091,-734.1983556980705,-750.0809541308847,-762.5989526689199,0.20,C,low
-735.8114343644327,-750.3230391193166,-740.5384084351871,-734.5695626058734,-747.911045884642,-738.2422907960765,0.55,H,high
-737.6557831305673,-743.4564062845801,-744.3185576201504,-735.6625609142591,-740.6185432191289,-741.4010790767848,0.55,H,high
-734.9162237330382,-744.5257621786162,-738.2454501541223,-731.7833076754057,-740.9146823296212,-734.7336039540185,0.75,H,low
-737.6751090794334,-795.5169861688746,-806.5561619939023,-742.2999175684167,-795.2925093939788,-805.8066830249792,0.00,C,low
-733.0111560376964,-743.7126302064116,-740.5054239836354,-732.0220193727376,-741.6812756046634,-738.8835011023272,0.20,C,low
-738.008748889989,-758.9675308443248,-765.7179831408723,-738.582837016565,-756.7755874280313,-762.8988657434592,0.75,C,low
-736.8260413081264,-815.1355535128861,-821.0783072664559,-736.196077688148,-814.2706895155624,-820.4053853677988,0.20,H,low
-734.6248809043122,-748.2861992778342,-744.5850758776387,-732.6103127178778,-746.1710866001797,-742.8530371807009,0.20,C,high
-733.7504423215009,-807.5640848900603,-823.0212305474507,-738.9381854296215,-808.1892914742828,-823.615064974624,0.00,C,high
-737.4685614143925,-739.4303192367169,-741.2688120725834,-733.1093335501321,-735.1773378255672,-736.8824489047813,0.75,H,low
-735.0237578837837,-772.308740564359,-776.2519579273464,-737.3646646103815,-771.6477226811922,-775.4891330486824,0.35,C,high
-737.2431059843044,-837.090521115437,-847.58133166028,-746.5900842450358,-838.1110197179595,-848.2397505761758,0.20,C,high
-738.3921987823077,-745.4466079815547,-757.6016149204173,-732.897700308329,-741.1127121520154,-752.6364881489698,0.75,H,high
-734.2571702405697,-752.4963247956423,-751.3322032377271,-734.1678179268777,-751.1932724741365,-749.8465273652363,0.20,C,high
-736.4195958736996,-758.0223874499715,-751.657219837416,-737.8401599506433,-757.0259294341746,-750.7099563176234,0.00,C,high
-736.1475671223894,-817.1649819912507,-841.0300585035799,-738.4977250240361,-815.7447995605927,-839.2531504378956,0.55,C,high
-736.9606415456019,-782.9409003137673,-776.1883296750882,-740.0229009871698,-780.4222384582841,-773.9746820624482,0.00,C,high
-735.2764247365251,-758.1018269697678,-772.942218725231,-734.553024409788,-756.304000655631,-770.9371231090372,0.20,H,low
-740.4326772234649,-748.9366442801985,-747.0951741739983,-736.8503121207062,-744.4882668072634,-742.6137529760734,0.55,H,high
-732.9959307483144,-735.9343760679218,-738.6153247271358,-731.3329644955783,-734.2902470562403,-737.0545134286264,0.55,C,low
-736.300144272503,-774.5549020619371,-767.8405290055072,-737.6833401661916,-773.0497881425466,-767.1428848130611,0.20,C,low
-733.0535549186282,-732.9712760937404,-739.357553036814,-731.1583790816696,-731.0047551254946,-737.2719752202087,0.75,H,low
-734.0127338210956,-745.8328801272129,-746.2980885045627,-732.2983781955844,-743.4917289184223,-744.0378547972477,0.75,H,low
-737.8107478029814,-913.5258579629143,-932.9979621705287,-746.7236754171349,-914.1351745051636,-932.6145950529217,0.00,C,high
-734.0710618321549,-794.5562985105844,-800.5382852027146,-736.6514474129389,-794.2452547762279,-800.2072640972244,0.00,C,high
-732.6334610424672,-739.8024163858712,-739.487811889112,-731.8664544219441,-738.1194153124579,-737.780384701814,0.75,C,low
-733.0149422430846,-735.2507585414983,-742.625389759229,-731.224238394953,-734.0151890870526,-740.9119198779366,0.75,H,high
-737.653603496804,-757.6022416477174,-751.927130229184,-735.9691312312125,-754.2091746502593,-748.6376501004594,0.55,C,high
-734.7658342580503,-745.2723192668775,-743.0137232293598,-734.2159456817006,-743.9638084427284,-741.4777582987086,0.55,C,low
-736.2241894271581,-760.028544648689,-761.237145626532,-733.5025546765196,-758.1945466387006,-759.2670571839546,0.55,H,low
-737.0835427730781,-793.6592631375715,-800.4683167138902,-738.4094803720164,-792.3755701185187,-799.0874814065072,0.35,C,high
-743.5055574755394,-774.3816682212855,-773.8359328295581,-741.7770543148043,-770.3877669471842,-769.9378189308139,0.35,H,low
-735.3434754556126,-746.6377177731954,-747.0559632908382,-733.5535984822634,-743.9868749279759,-744.5749022465676,0.75,H,high
-734.519682675003,-785.5755117195774,-784.6981706266109,-734.9936316190768,-784.9965733608077,-783.9393549740122,0.20,C,high
-738.5124739409098,-754.9503109977155,-748.3191083495765,-736.6249050331389,-751.4328694077047,-745.8522355759749,0.35,H,high
-735.4773985643743,-744.792028476183,-752.2957720843584,-737.1397381872054,-743.4783130519329,-750.8545728067089,0.55,C,high
-736.8887779047708,-742.7706120378182,-743.7285004933424,-733.3305534305941,-739.3436091778544,-740.3312482957995,0.75,H,high
-735.2965268234498,-743.626996029103,-745.9900842849528,-732.7993636692628,-740.6554894793198,-743.0290614082271,0.75,C,low
-737.1128070715006,-806.2154530716113,-792.1874227011612,-738.4143590262114,-804.2619235090758,-790.6649667229102,0.35,C,low
-735.100250637408,-745.7463942861916,-745.5341636544316,-733.7883250792319,-743.5688825059899,-743.2742999498408,0.35,C,low
-737.8589682699201,-817.4761867700984,-846.9273675454233,-742.066769002392,-817.1801205111716,-845.6314890719805,0.20,C,high
-732.4799963182585,-761.0715915582783,-761.3850999766886,-731.3027202004483,-758.5840946540545,-759.0644220389813,0.55,C,low
-735.3941872424292,-736.7755948496696,-737.8994924088827,-732.7452321903935,-734.0253896906206,-734.9148938511395,0.55,H,high
-737.4270328530043,-801.457433729323,-798.705971898475,-740.1687952860588,-799.5704697509481,-797.4522716413138,0.00,C,high
-736.4946976681472,-762.7969122658486,-761.6690143837509,-734.8614645277827,-760.2195449493522,-759.4284775662392,0.55,C,high
-738.3959214938816,-738.5654654998882,-738.3201339168003,-733.849802076384,-734.1288901144917,-733.8885962526691,0.35,H,high
-734.8938027372432,-745.4570424207056,-751.5569842721434,-733.5956728680866,-742.9954331897875,-749.2104314373547,0.75,C,high
-734.6102456662089,-742.516430001809,-738.4332788554677,-733.3030640119855,-740.1258932442316,-736.1697912406552,0.20,H,low
-734.1197449569089,-739.7143733870546,-746.0720136925778,-734.1754857613885,-737.7128017177382,-744.1245111374075,0.00,C,high
-736.043735155133,-792.9503066871389,-770.7441637713326,-737.7174663079204,-791.9240651191384,-770.1311529349856,0.00,C,low
-736.560659811904,-745.0479967533049,-764.426176188395,-734.1926567130142,-741.785685966438,-760.7975240206268,0.35,H,low
-735.886368539508,-739.5950834371457,-741.0594923997692,-732.3281245960892,-735.7433143621778,-737.147980788086,0.55,H,high
-737.4961093927407,-810.6119165335964,-796.2195368624695,-743.3971557212293,-810.5702209780438,-797.7545661072384,0.20,C,high
-736.8617648749106,-867.7685718614641,-846.7247071727278,-736.9131337103125,-867.5199867340126,-846.5395820151474,0.20,C,high
-736.0362346725034,-882.3839057260321,-899.8351114441913,-742.3474924964663,-883.7106975435802,-900.810190560512,0.35,C,high
-733.7308153155593,-735.2283394311396,-735.0872516687817,-732.9989622420028,-734.1441187282594,-733.8298175287764,0.00,C,high
-735.5509617942689,-778.2972727688012,-788.9511280882128,-736.5543440422747,-777.138473258864,-787.4571629351376,0.00,H,low
-736.9438305558468,-819.6001563158225,-816.1837561071916,-736.8496942866741,-816.9920876798435,-813.5730587227716,0.00,C,low
-735.8738768588998,-831.8207053391197,-847.8734478894497,-737.2678801431216,-832.7725832805019,-848.0774308607869,0.35,C,high
-736.2032997718109,-762.2642805792686,-773.7880388810378,-739.6443052425434,-763.0235758248917,-773.9349363304037,0.00,C,low
-733.5216737266041,-814.1331073015568,-822.6710014656805,-735.1198426961404,-813.9767199524537,-822.537324055149,0.20,C,high
-733.633955445984,-769.3826008361175,-767.4661919827893,-733.7043396145434,-768.0644588336827,-766.1911399184921,0.75,C,high
-734.2858321874571,-746.8316780086393,-739.3362475846324,-733.4350182876109,-744.2690424268711,-736.9229578612445,0.55,C,low
-738.1255948613843,-799.73346345457,-793.6234543216996,-738.6375209588914,-797.157086974005,-791.2801229714667,0.55,H,high
-735.8241435510032,-755.5320992218759,-745.3310855674656,-734.719459906956,-752.6546907743758,-742.8700020014913,0.20,H,low
-732.5023690517775,-744.6981428524517,-741.1436149905257,-731.86691740072,-743.3864655559023,-740.1669774194997,0.00,H,high
-735.8851943876933,-755.6247173859455,-753.799579758448,-734.9925515185346,-753.5333024319161,-751.5689169756504,0.75,H,high
-737.8754876007972,-770.6354542224302,-783.4146181395918,-736.2972187098129,-766.8186180725434,-779.0874360618836,0.35,H,low
-737.1459847224774,-755.8526657395364,-753.3244420372384,-735.4714566188665,-752.2419304813807,-749.6271735752497,0.35,H,high
-735.0750831065407,-745.3349918855547,-741.2423014887546,-732.3195105835731,-742.5663503435501,-738.7408844340936,0.55,C,low
-734.9316548957148,-798.5101761538899,-791.17905541755,-736.8572118941403,-797.9573172516976,-790.428944847824,0.00,C,high
-733.4716768577974,-759.5257570119554,-741.455709302671,-733.7612129000115,-758.40705776178,-741.0837522641951,0.00,C,low
-732.809282680095,-798.8901402871444,-822.2342160204508,-735.5411185811123,-799.7614034924532,-822.7108568788409,0.20,C,high
-734.6085279030975,-741.2271933446174,-743.45096038573,-733.1472070551163,-738.7470934129714,-741.0452354518156,0.75,H,high
-734.7380792345832,-779.4641422355405,-774.6535726728418,-732.9806015356403,-777.8563498015002,-773.3043682932606,0.35,C,low
